SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2010,2010,PC,Percentage,0,Units,,,10.3375,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2011,2011,PC,Percentage,0,Units,,,5.9075,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2012,2012,PC,Percentage,0,Units,,,4.565,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2013,2013,PC,Percentage,0,Units,,,3.34,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2014,2014,PC,Percentage,0,Units,,,2.508333,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2015,2015,PC,Percentage,0,Units,,,0.9633333,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2016,2016,PC,Percentage,0,Units,,,0.5341667,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2017,2017,PC,Percentage,0,Units,,,0.8341666,,
IRLT,"Long-term interest rates, Per cent per annum",LVA,Latvia,A,Annual,2018,2018,PC,Percentage,0,Units,,,0.9025,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2005,2005,PC,Percentage,0,Units,,,3.699167,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2006,2006,PC,Percentage,0,Units,,,4.080833,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2007,2007,PC,Percentage,0,Units,,,4.545833,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2008,2008,PC,Percentage,0,Units,,,5.6075,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2009,2009,PC,Percentage,0,Units,,,14.00417,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2010,2010,PC,Percentage,0,Units,,,5.566667,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2011,2011,PC,Percentage,0,Units,,,5.16,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2012,2012,PC,Percentage,0,Units,,,4.830833,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2013,2013,PC,Percentage,0,Units,,,3.831667,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2014,2014,PC,Percentage,0,Units,,,2.7925,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2015,2015,PC,Percentage,0,Units,,,1.380833,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2016,2016,PC,Percentage,0,Units,,,0.8983333,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2017,2017,PC,Percentage,0,Units,,,0.31,,
IRLT,"Long-term interest rates, Per cent per annum",LTU,Lithuania,A,Annual,2018,2018,PC,Percentage,0,Units,,,0.31,,
